	0
0	PF13304.1
1	K16012
2	K12541
3	K16013
4	K13892
5	K13896
6	K02006
7	K02056
8	K10539
9	K02028
10	K15738
11	K02036
12	K02071
13	K10004
14	K09812
15	K10000
16	K10823
17	K02052
18	K11631
19	K06158
20	K09810
21	K11072
22	K06861
23	K15497
24	K12372
25	K01990
26	K02023
27	K02065
28	K15583
29	K02031
30	K15600
31	K11705
32	K02049
33	K09013
34	K12371
35	K06949
36	K05685
37	K11004
38	K12530
39	K12531
40	K14698
41	K14699
42	K13409
43	K12536
44	K06160
45	K11050
46	K11607
47	K09691
48	K02074
49	K09693
50	3.6.3.39
51	3.6.3.32
52	3.6.3.27
53	3.6.3.25
54	3.6.3.31
55	3.6.3.40
56	3.6.3.30
57	TIGR02204
58	TIGR00972
59	TIGR03719
60	TIGR01277
61	TIGR02673
62	TIGR02142
63	TIGR02211
64	TIGR03410
65	TIGR01189
66	TIGR01978
67	TIGR00630
68	TIGR00157
69	TIGR01846
70	TIGR01194
71	TIGR01188
72	K10832
73	K10866
74	K02404
75	K06669
76	K03529
77	K06636
78	K13799
79	K03629
80	K03595
81	K06992
82	ADENYLYLSULFKIN-RXN
83	PF12698.2
84	K11051
85	TIGR01248
86	TIGR00025
87	K09688
88	TIGR03929
89	PF00578.16
90	PF08534.5
91	K11188
92	K11065
93	K03672
94	K02199
95	1.8.4.12
96	TIGR00357
97	PF00266.14
98	K04487
99	K11717
100	K01766
101	K00821
102	K00839
103	K04127
104	TIGR01979
105	TIGR03392
106	TIGR02006
107	TIGR02326
108	K13745
109	K01590
110	K01634
111	K13010
112	PF01053.15
113	K10907
114	K00812
115	K14260
116	K10764
117	K15910
118	K12452
119	2.6.1.92
120	2.6.1.33
121	2.6.1.34
122	2.6.1.90
123	TIGR03588
124	TIGR04181
125	TIGR01324
126	K00281
127	7KAPSYN-RXN
128	PF12895.2
129	K02656
130	K04060
131	K12284
132	K09667
133	TIGR02917
134	K15368
135	TIGR02552
136	K12512
137	TIGR00540
138	PF00515.23
139	K05807
140	K05803
141	PF03704.12
142	TIGR03939
143	K03556
144	PF09976.4
145	TIGR03302
146	PF01636.18
147	PF01633.15
148	K07102
149	PF00069.20
150	K00908
151	2.7.11.1
152	2.7.1.166
153	PF09632.5
154	K11916
155	K14949
156	K15486
157	K03688
158	K11912
159	K11889
160	K08848
161	K04514
162	TIGR01982
163	K15492
164	PF01171.15
165	K04075
166	GMP-SYN-GLUT-RXN
167	6.3.5.2
168	TIGR03573
169	PF00430.13
170	PF06635.7
171	K03223
172	K02411
173	TIGR01144
174	TIGR02499
175	PF01148.15
176	CDPDIGLYSYN-RXN
177	K01845
178	K00643
179	K10915
180	5-AMINOLEVULINIC-ACID-SYNTHASE-RXN
181	GLYOHMETRANS-RXN
182	K06213
183	5.3.1.13
184	TIGR00393
185	PF13442.1
186	PF00034.16
187	TIGR00782
188	PF01266.19
189	PF13738.1
190	K00382
191	K00384
192	K10531
193	K03897
194	K04793
195	1.6.1.1
196	PF12831.2
197	PF03275.8
198	K03153
199	K00219
200	K03387
201	K00383
202	K00231
203	K14257
204	K03184
205	K00278
206	DIHYDLIPOXN-RXN
207	1.8.1.4
208	TIGR01350
209	TIGR02732
210	K03499
211	K05910
212	1.4.3.2
213	1.3.5.5
214	1.14.13.9
215	TIGR01988
216	TIGR01984
217	K00057
218	K07516
219	K08319
220	UGD-RXN
221	6PGLUCONDEHYDROG-RXN
222	1.1.1.157
223	TIGR02437
224	TIGR03026
225	PF13536.1
226	K07790
227	PF13237.1
228	PF12838.2
229	K07311
230	K08346
231	K02573
232	K03855
233	K00371
234	TIGR03149
235	PF13370.1
236	PF00498.21
237	K03220
238	K12281
239	K07169
240	TIGR02500
241	K11913
242	K11894
243	TIGR03354
244	PF01832.15
245	K03796
246	K02395
247	3.2.1.96
248	TIGR02541
249	PF13457.1
250	K13731
251	PF13579.1
252	PF13692.1
253	K14335
254	K15521
255	K12995
256	2.4.1.57
257	TIGR03088
258	TIGR04007
259	K03429
260	K03857
261	K12583
262	K15915
263	K05944
264	K13001
265	K12989
