	Query
0	PF13304.1
1	K16012
2	K12541
3	K16013
4	K13892
5	K13896
6	K02006
7	K02056
8	K10539
9	K02028
10	K15738
11	K02036
12	K02071
13	K10004
14	K09812
15	K10000
16	K10823
17	K02052
18	K11631
19	K06158
20	K09810
21	K11072
22	K06861
23	K15497
24	K12372
25	K01990
26	K02023
27	K02065
28	K15583
29	K02031
30	K15600
31	K11705
32	K02049
33	K09013
34	K12371
35	K06949
36	K03629
37	K05685
38	K11004
39	K12530
40	K12531
41	K14698
42	K14699
43	K13409
44	K12536
45	K06160
46	K11050
47	K11607
48	K09691
49	K02074
50	K09693
51	3.6.3.39
52	3.6.3.32
53	3.6.3.27
54	3.6.3.25
55	3.6.3.31
56	3.6.3.40
57	3.6.3.30
58	TIGR02204
59	TIGR00972
60	TIGR03719
61	TIGR01277
62	TIGR02673
63	TIGR02142
64	TIGR02211
65	TIGR03410
66	TIGR01189
67	TIGR01978
68	TIGR00630
69	TIGR00157
70	TIGR01846
71	TIGR01194
72	TIGR01188
73	K10832
74	K03199
75	K10866
76	K06669
77	TIGR00041
78	K00945
79	K02404
80	K03631
81	TIGR03420
82	K06636
83	K03977
84	K03978
85	K03650
86	K00855
87	TIGR00152
88	K00891
89	K03595
90	TIGR03598
91	TIGR03497
92	K03529
93	TIGR00611
94	K13799
95	ADENYL-KIN-RXN
96	K03224
97	K06211
98	K06675
99	K03979
100	TIGR02729
101	K06992
102	ADENYLYLSULFKIN-RXN
103	K03665
104	TIGR01026
105	K08307
106	K00791
107	K06865
108	K02669
109	K02670
110	K02454
111	K02504
112	K02652
113	K12276
114	K10965
115	K12203
116	K12283
117	K02450
118	TIGR02788
119	TIGR02782
120	TIGR02533
121	TIGR01420
122	TIGR02524
123	TIGR02525
124	PF12698.2
125	K11051
126	TIGR01248
127	TIGR00025
128	K09688
129	TIGR03929
130	K05789
131	2.7.10.-
132	TIGR01005
133	TIGR01006
134	PF00578.16
135	PF08534.5
136	K11188
137	K11065
138	K03672
139	K03671
140	K02199
141	1.8.4.12
142	TIGR01068
143	TIGR00357
144	PF00266.14
145	K04487
146	K11717
147	K01766
148	K00821
149	K00839
150	K04127
151	TIGR01979
152	TIGR03392
153	TIGR02006
154	TIGR02326
155	K10907
156	K13745
157	K01590
158	K01634
159	K13010
160	PF01053.15
161	K00812
162	K14260
163	K10764
164	K15910
165	K12452
166	2.6.1.92
167	2.6.1.33
168	2.6.1.34
169	2.6.1.90
170	TIGR03588
171	TIGR04181
172	TIGR01324
173	K00281
174	K04720
175	7KAPSYN-RXN
176	K00375
177	K00813
178	K00832
179	HISTAMINOTRANS-RXN
180	TIGR01140
181	TIGR03542
182	K06213
183	5.3.1.13
184	TIGR00393
185	PF12895.2
186	PF03704.12
187	PF03279.8
188	K02656
189	K04060
190	K12284
191	K12512
192	K09667
193	TIGR02917
194	PF00515.23
195	K15368
196	TIGR02552
197	PF05036.8
198	TIGR00540
199	PF09976.4
200	K05807
201	K05803
202	K09257
203	TIGR03302
204	TIGR03939
205	K03556
206	PF01636.18
207	PF01633.15
208	K07102
209	PF00069.20
210	K00908
211	2.7.11.1
212	2.7.1.166
213	PF00092.23
214	PF13519.1
215	K03688
216	K11912
217	K11916
218	K14949
219	K11889
220	K08848
221	K07114
222	K04514
223	PF09632.5
224	K15486
225	TIGR01982
226	K15492
227	PF01171.15
228	K04075
229	GMP-SYN-GLUT-RXN
230	6.3.5.2
231	TIGR03573
232	PF00430.13
233	PF06635.7
234	K03223
235	K02411
236	TIGR01144
237	TIGR02499
238	PF00364.17
239	PF13437.1
240	K15727
241	K12542
242	K00627
243	K00658
244	K02160
245	K01960
246	K02005
247	K12537
248	K11003
249	TIGR00999
250	TIGR02971
251	K12532
252	RXN0-1133
253	K12340
254	PF13812.1
255	PF01148.15
256	CDPDIGLYSYN-RXN
257	K01845
258	K00643
259	K10915
260	5-AMINOLEVULINIC-ACID-SYNTHASE-RXN
261	GLYOHMETRANS-RXN
262	PF13442.1
263	PF00034.16
264	TIGR00782
265	PF01266.19
266	PF13738.1
267	K00382
268	K00384
