	VFID	VF_Name	Bacteria	VFCID	VFcategory	ESKAPE	fasID	Virulence_factor
0	VF1338	T6SS secreted effectors	Acinetobacter baumannii	VFC0086	Effector delivery system	Positive	VFG048215(gb|WP_012105311)	tse1
1	VF1338	T6SS secreted effectors	Acinetobacter baumannii	VFC0086	Effector delivery system	Positive	VFG048215(gb|WP_012105311)	tse2
2	VF1338	T6SS secreted effectors	Acinetobacter baumannii	VFC0086	Effector delivery system	Positive	VFG048215(gb|WP_012105311)	tse3
3	VF1338	T6SS secreted effectors	Acinetobacter baumannii	VFC0086	Effector delivery system	Positive	VFG048215(gb|WP_012105311)	tse4
4	VF0467	Acinetobactin	Acinetobacter baumannii	VFC0272	Nutritional/Metabolic factor	Positive	VFG048215(gb|WP_012105311)	basJ
5	VF0467	Acinetobactin	Acinetobacter baumannii	VFC0272	Nutritional/Metabolic factor	Positive	VFG048215(gb|WP_012105311)	basI
6	VF0467	Acinetobactin	Acinetobacter baumannii	VFC0272	Nutritional/Metabolic factor	Positive	VFG048215(gb|WP_012105311)	basH
7	VF0467	Acinetobactin	Acinetobacter baumannii	VFC0272	Nutritional/Metabolic factor	Positive	VFG048215(gb|WP_012105311)	barB
8	VF0467	Acinetobactin	Acinetobacter baumannii	VFC0272	Nutritional/Metabolic factor	Positive	VFG048215(gb|WP_012105311)	barA
9	VF0467	Acinetobactin	Acinetobacter baumannii	VFC0272	Nutritional/Metabolic factor	Positive	VFG048215(gb|WP_012105311)	basG
10	VF0467	Acinetobactin	Acinetobacter baumannii	VFC0272	Nutritional/Metabolic factor	Positive	VFG048215(gb|WP_012105311)	basF
11	VF0467	Acinetobactin	Acinetobacter baumannii	VFC0272	Nutritional/Metabolic factor	Positive	VFG048215(gb|WP_012105311)	entE
12	VF0467	Acinetobactin	Acinetobacter baumannii	VFC0272	Nutritional/Metabolic factor	Positive	VFG048215(gb|WP_012105311)	basD
13	VF0467	Acinetobactin	Acinetobacter baumannii	VFC0272	Nutritional/Metabolic factor	Positive	VFG048215(gb|WP_012105311)	basC
14	VF0467	Acinetobactin	Acinetobacter baumannii	VFC0272	Nutritional/Metabolic factor	Positive	VFG048215(gb|WP_012105311)	bauA
15	VF0467	Acinetobactin	Acinetobacter baumannii	VFC0272	Nutritional/Metabolic factor	Positive	VFG048215(gb|WP_012105311)	bauB
16	VF0467	Acinetobactin	Acinetobacter baumannii	VFC0272	Nutritional/Metabolic factor	Positive	VFG048215(gb|WP_012105311)	bauE
17	VF0467	Acinetobactin	Acinetobacter baumannii	VFC0272	Nutritional/Metabolic factor	Positive	VFG048215(gb|WP_012105311)	bauC
18	VF0467	Acinetobactin	Acinetobacter baumannii	VFC0272	Nutritional/Metabolic factor	Positive	VFG048215(gb|WP_012105311)	bauD
19	VF0467	Acinetobactin	Acinetobacter baumannii	VFC0272	Nutritional/Metabolic factor	Positive	VFG048215(gb|WP_012105311)	basB
20	VF0467	Acinetobactin	Acinetobacter baumannii	VFC0272	Nutritional/Metabolic factor	Positive	VFG048215(gb|WP_012105311)	basA
21	VF0467	Acinetobactin	Acinetobacter baumannii	VFC0272	Nutritional/Metabolic factor	Positive	VFG048215(gb|WP_012105311)	bauF
22	VF0504	AdeFGH efflux pump	Acinetobacter baumannii	VFC0271	Biofilm	Positive	VFG048215(gb|WP_012105311)	adeF
23	VF0504	AdeFGH efflux pump	Acinetobacter baumannii	VFC0271	Biofilm	Positive	VFG048215(gb|WP_012105311)	adeG
24	VF0504	AdeFGH efflux pump	Acinetobacter baumannii	VFC0271	Biofilm	Positive	VFG048215(gb|WP_012105311)	adeH
25	VF1333	Ata	Acinetobacter baumannii	VFC0001	Adherence	Positive	VFG048215(gb|WP_012105311)	ata
26	VF0462	Bap	Acinetobacter baumannii	VFC0271	Biofilm	Positive	VFG048215(gb|WP_012105311)	bap
27	VF0465	Capsule	Acinetobacter baumannii	VFC0258	Immune modulation	Positive	VFG048215(gb|WP_012105311)	ACICU_RS00395
28	VF0465	Capsule	Acinetobacter baumannii	VFC0258	Immune modulation	Positive	VFG048215(gb|WP_012105311)	ACICU_RS00400
29	VF0465	Capsule	Acinetobacter baumannii	VFC0258	Immune modulation	Positive	VFG048215(gb|WP_012105311)	ACICU_RS00405
30	VF0465	Capsule	Acinetobacter baumannii	VFC0258	Immune modulation	Positive	VFG048215(gb|WP_012105311)	tviB
31	VF0465	Capsule	Acinetobacter baumannii	VFC0258	Immune modulation	Positive	VFG048215(gb|WP_012105311)	pseB
32	VF0465	Capsule	Acinetobacter baumannii	VFC0258	Immune modulation	Positive	VFG048215(gb|WP_012105311)	pseC
33	VF0465	Capsule	Acinetobacter baumannii	VFC0258	Immune modulation	Positive	VFG048215(gb|WP_012105311)	pseF
34	VF0465	Capsule	Acinetobacter baumannii	VFC0258	Immune modulation	Positive	VFG048215(gb|WP_012105311)	pseG
35	VF0465	Capsule	Acinetobacter baumannii	VFC0258	Immune modulation	Positive	VFG048215(gb|WP_012105311)	pseH
36	VF0465	Capsule	Acinetobacter baumannii	VFC0258	Immune modulation	Positive	VFG048215(gb|WP_012105311)	pseI
37	VF0465	Capsule	Acinetobacter baumannii	VFC0258	Immune modulation	Positive	VFG048215(gb|WP_012105311)	ACICU_RS00445
38	VF0465	Capsule	Acinetobacter baumannii	VFC0258	Immune modulation	Positive	VFG048215(gb|WP_012105311)	ACICU_RS00450
39	VF0465	Capsule	Acinetobacter baumannii	VFC0258	Immune modulation	Positive	VFG048215(gb|WP_012105311)	ACICU_RS00460
40	VF0465	Capsule	Acinetobacter baumannii	VFC0258	Immune modulation	Positive	VFG048215(gb|WP_012105311)	ACICU_RS00465
41	VF0465	Capsule	Acinetobacter baumannii	VFC0258	Immune modulation	Positive	VFG048215(gb|WP_012105311)	ACICU_RS00475
42	VF0465	Capsule	Acinetobacter baumannii	VFC0258	Immune modulation	Positive	VFG048215(gb|WP_012105311)	galU
43	VF0465	Capsule	Acinetobacter baumannii	VFC0258	Immune modulation	Positive	VFG048215(gb|WP_012105311)	ACICU_RS00485
44	VF0465	Capsule	Acinetobacter baumannii	VFC0258	Immune modulation	Positive	VFG048215(gb|WP_012105311)	pgi
45	VF0465	Capsule	Acinetobacter baumannii	VFC0258	Immune modulation	Positive	VFG048215(gb|WP_012105311)	galE
46	VF0465	Capsule	Acinetobacter baumannii	VFC0258	Immune modulation	Positive	VFG048215(gb|WP_012105311)	ACICU_RS00500
47	VF1336	CpaA	Acinetobacter baumannii	VFC0251	Exoenzyme	Positive	VFG048215(gb|WP_012105311)	cpaA
48	VF0461	Csu fimbriae	Acinetobacter baumannii	VFC0271	Biofilm	Positive	VFG048215(gb|WP_012105311)	csuA/B
49	VF0461	Csu fimbriae	Acinetobacter baumannii	VFC0271	Biofilm	Positive	VFG048215(gb|WP_012105311)	csuB
50	VF0461	Csu fimbriae	Acinetobacter baumannii	VFC0271	Biofilm	Positive	VFG048215(gb|WP_012105311)	csuC
51	VF0461	Csu fimbriae	Acinetobacter baumannii	VFC0271	Biofilm	Positive	VFG048215(gb|WP_012105311)	csuD
52	VF0461	Csu fimbriae	Acinetobacter baumannii	VFC0271	Biofilm	Positive	VFG048215(gb|WP_012105311)	csuE
53	VF0636	HemO cluster	Acinetobacter baumannii	VFC0272	Nutritional/Metabolic factor	Positive	VFG048215(gb|WP_012105311)	ACICU_RS04565
54	VF0636	HemO cluster	Acinetobacter baumannii	VFC0272	Nutritional/Metabolic factor	Positive	VFG048215(gb|WP_012105311)	ACICU_RS04570
55	VF0636	HemO cluster	Acinetobacter baumannii	VFC0272	Nutritional/Metabolic factor	Positive	VFG048215(gb|WP_012105311)	ACICU_RS04575
56	VF0636	HemO cluster	Acinetobacter baumannii	VFC0272	Nutritional/Metabolic factor	Positive	VFG048215(gb|WP_012105311)	ACICU_RS04580
57	VF0636	HemO cluster	Acinetobacter baumannii	VFC0272	Nutritional/Metabolic factor	Positive	VFG048215(gb|WP_012105311)	ACICU_RS04585
58	VF0636	HemO cluster	Acinetobacter baumannii	VFC0272	Nutritional/Metabolic factor	Positive	VFG048215(gb|WP_012105311)	ACICU_RS04590
59	VF0636	HemO cluster	Acinetobacter baumannii	VFC0272	Nutritional/Metabolic factor	Positive	VFG048215(gb|WP_012105311)	ACICU_RS04595
60	VF0636	HemO cluster	Acinetobacter baumannii	VFC0272	Nutritional/Metabolic factor	Positive	VFG048215(gb|WP_012105311)	hemO
61	VF0636	HemO cluster	Acinetobacter baumannii	VFC0272	Nutritional/Metabolic factor	Positive	VFG048215(gb|WP_012105311)	ACICU_RS04605
62	VF0636	HemO cluster	Acinetobacter baumannii	VFC0272	Nutritional/Metabolic factor	Positive	VFG048215(gb|WP_012105311)	ACICU_RS04610
