	VFID	VF_Name	Bacteria	VFCID	VFcategory	ESKAPE	fasID	Virulence_factor
0	VF1338	T6SS secreted effectors	Acinetobacter baumannii	VFC0086	Effector delivery system	Positive	VFG051109(gb|YP_001083177.1)	tse1
1	VF1338	T6SS secreted effectors	Acinetobacter baumannii	VFC0086	Effector delivery system	Positive	VFG051110(gb|YP_001083606.1)	tse2
2	VF1338	T6SS secreted effectors	Acinetobacter baumannii	VFC0086	Effector delivery system	Positive	VFG051111(gb|YP_001084320.1)	tse3
3	VF1338	T6SS secreted effectors	Acinetobacter baumannii	VFC0086	Effector delivery system	Positive	VFG051112(gb|YP_001086354.1)	tse4
4	VF0467	Acinetobactin	Acinetobacter baumannii	VFC0272	Nutritional/Metabolic factor	Positive	VFG037218(gb|WP_000983821)	basJ
5	VF0467	Acinetobactin	Acinetobacter baumannii	VFC0272	Nutritional/Metabolic factor	Positive	VFG037232(gb|WP_001093095)	basI
6	VF0467	Acinetobactin	Acinetobacter baumannii	VFC0272	Nutritional/Metabolic factor	Positive	VFG037246(gb|WP_001032906)	basH
7	VF0467	Acinetobactin	Acinetobacter baumannii	VFC0272	Nutritional/Metabolic factor	Positive	VFG037260(gb|WP_001095752)	barB
8	VF0467	Acinetobactin	Acinetobacter baumannii	VFC0272	Nutritional/Metabolic factor	Positive	VFG037274(gb|WP_001281538)	barA
9	VF0467	Acinetobactin	Acinetobacter baumannii	VFC0272	Nutritional/Metabolic factor	Positive	VFG037288(gb|WP_000603876)	basG
10	VF0467	Acinetobactin	Acinetobacter baumannii	VFC0272	Nutritional/Metabolic factor	Positive	VFG037302(gb|WP_001018264)	basF
11	VF0467	Acinetobactin	Acinetobacter baumannii	VFC0272	Nutritional/Metabolic factor	Positive	VFG037316(gb|WP_000744381)	entE
12	VF0467	Acinetobactin	Acinetobacter baumannii	VFC0272	Nutritional/Metabolic factor	Positive	VFG037330(gb|WP_001177743)	basD
13	VF0467	Acinetobactin	Acinetobacter baumannii	VFC0272	Nutritional/Metabolic factor	Positive	VFG037344(gb|WP_000717759)	basC
14	VF0467	Acinetobactin	Acinetobacter baumannii	VFC0272	Nutritional/Metabolic factor	Positive	VFG037358(gb|WP_001073030)	bauA
15	VF0467	Acinetobactin	Acinetobacter baumannii	VFC0272	Nutritional/Metabolic factor	Positive	VFG037372(gb|WP_001104139)	bauB
16	VF0467	Acinetobactin	Acinetobacter baumannii	VFC0272	Nutritional/Metabolic factor	Positive	VFG037386(gb|WP_000582115)	bauE
17	VF0467	Acinetobactin	Acinetobacter baumannii	VFC0272	Nutritional/Metabolic factor	Positive	VFG037400(gb|WP_001223274)	bauC
18	VF0467	Acinetobactin	Acinetobacter baumannii	VFC0272	Nutritional/Metabolic factor	Positive	VFG037414(gb|WP_012391956)	bauD
19	VF0467	Acinetobactin	Acinetobacter baumannii	VFC0272	Nutritional/Metabolic factor	Positive	VFG037428(gb|WP_000939834)	basB
20	VF0467	Acinetobactin	Acinetobacter baumannii	VFC0272	Nutritional/Metabolic factor	Positive	VFG037442(gb|WP_000910253)	basA
21	VF0467	Acinetobactin	Acinetobacter baumannii	VFC0272	Nutritional/Metabolic factor	Positive	VFG037456(gb|WP_000160878)	bauF
22	VF0504	AdeFGH efflux pump	Acinetobacter baumannii	VFC0271	Biofilm	Positive	VFG037705(gb|WP_000010636)	adeF
23	VF0504	AdeFGH efflux pump	Acinetobacter baumannii	VFC0271	Biofilm	Positive	VFG037720(gb|WP_001027056)	adeG
24	VF0504	AdeFGH efflux pump	Acinetobacter baumannii	VFC0271	Biofilm	Positive	VFG037735(gb|WP_000633124)	adeH
25	VF1333	Ata	Acinetobacter baumannii	VFC0001	Adherence	Positive	VFG050303(gb|WP_001045628.1)	ata
26	VF0462	Bap	Acinetobacter baumannii	VFC0271	Biofilm	Positive	VFG037638(gb|WP_193759656)	bap
27	VF0465	Capsule	Acinetobacter baumannii	VFC0258	Immune modulation	Positive	VFG037852(gb|WP_001075965)	ACICU_RS00395
28	VF0465	Capsule	Acinetobacter baumannii	VFC0258	Immune modulation	Positive	VFG037867(gb|WP_001165990)	ACICU_RS00400
29	VF0465	Capsule	Acinetobacter baumannii	VFC0258	Immune modulation	Positive	VFG037882(gb|WP_000872593)	ACICU_RS00405
30	VF0465	Capsule	Acinetobacter baumannii	VFC0258	Immune modulation	Positive	VFG037897(gb|WP_001165095)	tviB
31	VF0465	Capsule	Acinetobacter baumannii	VFC0258	Immune modulation	Positive	VFG037912(gb|WP_000939040)	pseB
32	VF0465	Capsule	Acinetobacter baumannii	VFC0258	Immune modulation	Positive	VFG037927(gb|WP_000470518)	pseC
33	VF0465	Capsule	Acinetobacter baumannii	VFC0258	Immune modulation	Positive	VFG037942(gb|WP_001175206)	pseF
34	VF0465	Capsule	Acinetobacter baumannii	VFC0258	Immune modulation	Positive	VFG037957(gb|WP_000666850)	pseG
35	VF0465	Capsule	Acinetobacter baumannii	VFC0258	Immune modulation	Positive	VFG037972(gb|WP_000886731)	pseH
36	VF0465	Capsule	Acinetobacter baumannii	VFC0258	Immune modulation	Positive	VFG037987(gb|WP_000037963)	pseI
37	VF0465	Capsule	Acinetobacter baumannii	VFC0258	Immune modulation	Positive	VFG038002(gb|WP_000172211)	ACICU_RS00445
38	VF0465	Capsule	Acinetobacter baumannii	VFC0258	Immune modulation	Positive	VFG038017(gb|WP_001010045)	ACICU_RS00450
39	VF0465	Capsule	Acinetobacter baumannii	VFC0258	Immune modulation	Positive	VFG038047(gb|WP_000994240)	ACICU_RS00460
40	VF0465	Capsule	Acinetobacter baumannii	VFC0258	Immune modulation	Positive	VFG038062(gb|WP_000515955)	ACICU_RS00465
41	VF0465	Capsule	Acinetobacter baumannii	VFC0258	Immune modulation	Positive	VFG038091(gb|WP_000826956)	ACICU_RS00475
42	VF0465	Capsule	Acinetobacter baumannii	VFC0258	Immune modulation	Positive	VFG038105(gb|WP_000591436)	galU
43	VF0465	Capsule	Acinetobacter baumannii	VFC0258	Immune modulation	Positive	VFG038119(gb|WP_000686134)	ACICU_RS00485
44	VF0465	Capsule	Acinetobacter baumannii	VFC0258	Immune modulation	Positive	VFG038132(gb|WP_000045495)	pgi
45	VF0465	Capsule	Acinetobacter baumannii	VFC0258	Immune modulation	Positive	VFG038144(gb|WP_001062908)	galE
46	VF0465	Capsule	Acinetobacter baumannii	VFC0258	Immune modulation	Positive	VFG038155(gb|WP_000209960)	ACICU_RS00500
47	VF1336	CpaA	Acinetobacter baumannii	VFC0251	Exoenzyme	Positive	VFG050901(gb|WP_005119983.1)	cpaA
48	VF0461	Csu fimbriae	Acinetobacter baumannii	VFC0271	Biofilm	Positive	VFG037560(gb|WP_000790104)	csuA/B
49	VF0461	Csu fimbriae	Acinetobacter baumannii	VFC0271	Biofilm	Positive	VFG037586(gb|WP_000876480)	csuB
50	VF0461	Csu fimbriae	Acinetobacter baumannii	VFC0271	Biofilm	Positive	VFG037599(gb|WP_001988023)	csuC
51	VF0461	Csu fimbriae	Acinetobacter baumannii	VFC0271	Biofilm	Positive	VFG037612(gb|WP_000603301)	csuD
52	VF0461	Csu fimbriae	Acinetobacter baumannii	VFC0271	Biofilm	Positive	VFG037625(gb|WP_001022730)	csuE
53	VF0636	HemO cluster	Acinetobacter baumannii	VFC0272	Nutritional/Metabolic factor	Positive	VFG037470(gb|WP_001105554)	ACICU_RS04565
54	VF0636	HemO cluster	Acinetobacter baumannii	VFC0272	Nutritional/Metabolic factor	Positive	VFG037482(gb|WP_004748062)	ACICU_RS04570
55	VF0636	HemO cluster	Acinetobacter baumannii	VFC0272	Nutritional/Metabolic factor	Positive	VFG037490(gb|WP_001240499)	ACICU_RS04575
56	VF0636	HemO cluster	Acinetobacter baumannii	VFC0272	Nutritional/Metabolic factor	Positive	VFG037497(gb|WP_085947929)	ACICU_RS04580
57	VF0636	HemO cluster	Acinetobacter baumannii	VFC0272	Nutritional/Metabolic factor	Positive	VFG037505(gb|WP_002002089)	ACICU_RS04585
58	VF0636	HemO cluster	Acinetobacter baumannii	VFC0272	Nutritional/Metabolic factor	Positive	VFG037513(gb|WP_085947930)	ACICU_RS04590
59	VF0636	HemO cluster	Acinetobacter baumannii	VFC0272	Nutritional/Metabolic factor	Positive	VFG037521(gb|WP_000837764)	ACICU_RS04595
60	VF0636	HemO cluster	Acinetobacter baumannii	VFC0272	Nutritional/Metabolic factor	Positive	VFG037529(gb|WP_002062720)	hemO
