	ID	Query	VFID	VF_Name	Bacteria	VFCID	VFcategory	ESKAPE	Virulence_factor
0	VFG035923(gb|WP_000621745)	PF13304.1	VF0215	Dispersin	Escherichia coli (EAEC)	VFC0346	Others	Negative	aatC
1	VFG035923(gb|WP_000621745)	K16012_753	VF0215	Dispersin	Escherichia coli (EAEC)	VFC0346	Others	Negative	aatC
2	VFG035923(gb|WP_000621745)	K12541_338	VF0215	Dispersin	Escherichia coli (EAEC)	VFC0346	Others	Negative	aatC
3	VFG035923(gb|WP_000621745)	K16013_750	VF0215	Dispersin	Escherichia coli (EAEC)	VFC0346	Others	Negative	aatC
4	VFG035923(gb|WP_000621745)	K13892_241	VF0215	Dispersin	Escherichia coli (EAEC)	VFC0346	Others	Negative	aatC
5	VFG035923(gb|WP_000621745)	K13896_522	VF0215	Dispersin	Escherichia coli (EAEC)	VFC0346	Others	Negative	aatC
6	VFG035923(gb|WP_000621745)	K02006_3364_95_1903_1	VF0215	Dispersin	Escherichia coli (EAEC)	VFC0346	Others	Negative	aatC
7	VFG035923(gb|WP_000621745)	K02056_2426_95_1398_1	VF0215	Dispersin	Escherichia coli (EAEC)	VFC0346	Others	Negative	aatC
8	VFG035923(gb|WP_000621745)	K10539_228	VF0215	Dispersin	Escherichia coli (EAEC)	VFC0346	Others	Negative	aatC
9	VFG035923(gb|WP_000621745)	K02028_3191_95_1622_1	VF0215	Dispersin	Escherichia coli (EAEC)	VFC0346	Others	Negative	aatC
10	VFG035923(gb|WP_000621745)	K15738_1267_95_655	VF0215	Dispersin	Escherichia coli (EAEC)	VFC0346	Others	Negative	aatC
11	VFG035923(gb|WP_000621745)	K02036_2161_95_1075	VF0215	Dispersin	Escherichia coli (EAEC)	VFC0346	Others	Negative	aatC
12	VFG035923(gb|WP_000621745)	K02071_1581_95_671	VF0215	Dispersin	Escherichia coli (EAEC)	VFC0346	Others	Negative	aatC
13	VFG035923(gb|WP_000621745)	K10004_332	VF0215	Dispersin	Escherichia coli (EAEC)	VFC0346	Others	Negative	aatC
14	VFG035923(gb|WP_000621745)	K09812_1346_95_631	VF0215	Dispersin	Escherichia coli (EAEC)	VFC0346	Others	Negative	aatC
15	VFG035923(gb|WP_000621745)	K10000_222	VF0215	Dispersin	Escherichia coli (EAEC)	VFC0346	Others	Negative	aatC
16	VFG035923(gb|WP_000621745)	K10823_799	VF0215	Dispersin	Escherichia coli (EAEC)	VFC0346	Others	Negative	aatC
17	VFG035923(gb|WP_000621745)	K02052_830	VF0215	Dispersin	Escherichia coli (EAEC)	VFC0346	Others	Negative	aatC
18	VFG035923(gb|WP_000621745)	K11631_78	VF0215	Dispersin	Escherichia coli (EAEC)	VFC0346	Others	Negative	aatC
19	VFG035923(gb|WP_000621745)	K06158_1502_95_846_1	VF0215	Dispersin	Escherichia coli (EAEC)	VFC0346	Others	Negative	aatC
20	VFG035923(gb|WP_000621745)	K09810_972	VF0215	Dispersin	Escherichia coli (EAEC)	VFC0346	Others	Negative	aatC
21	VFG035923(gb|WP_000621745)	K11072_834	VF0215	Dispersin	Escherichia coli (EAEC)	VFC0346	Others	Negative	aatC
22	VFG035923(gb|WP_000621745)	K06861_1153_95_581	VF0215	Dispersin	Escherichia coli (EAEC)	VFC0346	Others	Negative	aatC
23	VFG035923(gb|WP_000621745)	K15497_109	VF0215	Dispersin	Escherichia coli (EAEC)	VFC0346	Others	Negative	aatC
24	VFG035923(gb|WP_000621745)	K12372_369	VF0215	Dispersin	Escherichia coli (EAEC)	VFC0346	Others	Negative	aatC
25	VFG035923(gb|WP_000621745)	K01990_3528_95_2418_1	VF0215	Dispersin	Escherichia coli (EAEC)	VFC0346	Others	Negative	aatC
26	VFG035923(gb|WP_000621745)	K02023_1076_95_790	VF0215	Dispersin	Escherichia coli (EAEC)	VFC0346	Others	Negative	aatC
27	VFG035923(gb|WP_000621745)	K02065_1518_95_864	VF0215	Dispersin	Escherichia coli (EAEC)	VFC0346	Others	Negative	aatC
28	VFG035923(gb|WP_000621745)	K15583_806	VF0215	Dispersin	Escherichia coli (EAEC)	VFC0346	Others	Negative	aatC
29	VFG035923(gb|WP_000621745)	K02031_3958_95_2536_1	VF0215	Dispersin	Escherichia coli (EAEC)	VFC0346	Others	Negative	aatC
30	VFG035923(gb|WP_000621745)	K15600_180	VF0215	Dispersin	Escherichia coli (EAEC)	VFC0346	Others	Negative	aatC
31	VFG035923(gb|WP_000621745)	K11705_25	VF0215	Dispersin	Escherichia coli (EAEC)	VFC0346	Others	Negative	aatC
32	VFG035923(gb|WP_000621745)	K02049_2895_95_1945_1	VF0215	Dispersin	Escherichia coli (EAEC)	VFC0346	Others	Negative	aatC
33	VFG035923(gb|WP_000621745)	K09013_1571_95_833	VF0215	Dispersin	Escherichia coli (EAEC)	VFC0346	Others	Negative	aatC
34	VFG035923(gb|WP_000621745)	K12371_325	VF0215	Dispersin	Escherichia coli (EAEC)	VFC0346	Others	Negative	aatC
